year,pct_margin
1976,14.358364755936421
1978,9.271585348367251
1980,2.852697373972297
1982,12.164923654837557
1984,5.434634283907697
1986,10.15959345520929
1988,7.040016032084188
1990,6.111344770749955
1992,5.372279552703581
1994,-8.497350502423581
1996,-0.20470830215713387
1998,-3.391958679544728
2000,-1.7024018138960082
2002,-6.720343628107149
2004,-4.121363850625445
2006,7.766892731815936
2008,10.01380216144578
2010,-7.4371351010165885
2012,0.4489804504090886
2014,-7.396108267909987
2016,-1.4595674718486957
2018,7.777827510734599
2020,2.707260549176992
2022,-3.379013381898758
