"","election_year","state","election_type","dem_votes","rep_votes","total_votes","margin","sig_third"
"93",1918,"MT","G",46160,40229,112402,5.2765965018416,FALSE
"94",1918,"NC","G",143519,93707,237226,20.9976983973089,FALSE
"95",1918,"NE","G",99696,119486,219182,-9.02902610615835,FALSE
"96",1918,"NJ","G",153743,179022,347488,-7.27478358964914,FALSE
"97",1918,"NM","G",22470,24322,47323,-3.91353041861251,FALSE
"98",1918,"NV","S",12197,8053,25563,16.2109298595627,FALSE
"99",1918,"OK","G",105050,77188,189497,14.7031351419811,FALSE
"100",1918,"OR","G",64303,82360,152036,-11.8767923386566,FALSE
"101",1918,"RI","G",37573,42055,81251,-5.51623980012554,FALSE
"102",1918,"SC","G",25792,0,25792,100,FALSE
"103",1918,"SD","G",36210,51198,92968,-16.1216762757078,FALSE
"104",1918,"TN","G",98459,59578,158037,24.6024665110069,FALSE
"105",1918,"TX","G",155178,22216,179050,74.259703993298,FALSE
"106",1918,"VA","G",40403,0,40534,99.6768145260769,FALSE
"107",1918,"WI","S",147526,168148,425849,-4.84256156524965,FALSE
"108",1918,"WV","G",97715,115216,215219,-8.1317169952467,FALSE
"109",1918,"WY","G",17528,23975,41503,-15.5338168325181,FALSE
"110",1920,"AL","G",155664,71334,228982,36.8282223056834,FALSE
"111",1920,"AL","S",161531,62020,226374,43.9586701653017,FALSE
"112",1920,"AR","G",126577,65381,191958,31.8798903926901,FALSE
"113",1920,"AZ","G",29169,35893,65062,-10.3347576158126,FALSE
"114",1920,"CA","G",371580,447835,913769,-8.34510691432955,FALSE
"115",1920,"CO","G",112890,156577,287173,-15.2127811458598,FALSE
"116",1920,"CT","G",131824,216792,365188,-23.2669200521375,FALSE
"117",1920,"FL","G",98966,27914,133260,53.3183250787933,FALSE
"118",1920,"IA","G",322015,528499,860470,-23.9966529919695,FALSE
"119",1920,"ID","G",64513,75985,140498,-8.16524078634571,FALSE
"120",1920,"IL","G",554372,1381382,2067043,-40.0093273337807,FALSE
"121",1920,"IN","G",514191,681854,1249567,-13.4176878870841,FALSE
"122",1920,"KS","G",170443,327072,510933,-30.6554871186633,FALSE
"123",1920,"KY","G",449244,454226,903470,-0.551429488527566,FALSE
"124",1920,"MD","G",244488,278645,589399,-5.79522530577758,FALSE
"125",1920,"MO","G",706091,861909,1605789,-9.70351646449191,FALSE
