"","year","state","seat_status","dem_votes","rep_votes","total_votes","open_seat","margin","dem_tp","pvi","X","gen_margin","gen_dem_tp","prev_gen_margin","prev2_gen_margin","prev_dem_gen_tp","prev_dem_tp","prev_pvi","incumbent_differential"
"1",2002,"NJ","Republican Open Seat",1256853,928174,2227165,TRUE,14.7577301187833,0.575211656423467,7.27368059618042,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.494328002348572,3.43052507139452,NA
"2",2002,"VA","Republican Open Seat",984177,887234,1886721,TRUE,5.13817358263357,0.525901044719733,-4.75214864903373,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.432644451248893,-5.83384261006026,NA
"3",2002,"AL","Democratic Incumbent",669105,672225,1367053,FALSE,-0.228228166720676,0.498836975240992,-7.99918687362576,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.578108161755144,-8.15532847646669,15.6771350450236
"4",2002,"AR","Republican Incumbent",378250,427082,805696,FALSE,-6.06084677099055,0.469682069010048,-1.13888370951881,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.392744692853196,5.11304191887301,-16.1275822405108
"5",2002,"AZ","Republican Open Seat",566284,554465,1226111,TRUE,0.96394209007178,0.505272813091959,-3.5325793802834,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.368276733147269,-3.80729112808652,NA
"6",2002,"CA","Democratic Incumbent",3533490,3169801,7476311,FALSE,4.86455151477781,0.527127645211882,5.07973761269252,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.601666449635908,3.14174241496279,6.73589294167063
"7",2002,"CO","Republican Incumbent",475373,884583,1412602,FALSE,-28.968527582433,0.349550279567868,-4.93075152076395,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.496779382458134,-4.26853283818856,3.65746147704459
"8",2002,"CT","Republican Incumbent",448984,573958,1022942,FALSE,-12.2171149488436,0.438914425255782,8.15604746432701,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.360351167063793,4.40426584236699,-18.6581587429451
"9",2002,"FL","Republican Incumbent",2201427,2856845,5100581,FALSE,-12.8498694560482,0.435213250691145,-0.591289550140633,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.447271161424151,-2.32961846198419,-3.23227500255814
"10",2002,"GA","Democratic Incumbent",937062,1041677,2027145,FALSE,-5.16070631355922,0.473565235233146,-6.02245530970761,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.54357332766507,-4.7883132823657,8.85663644191534
"11",2002,"HI","Democratic Open Seat",179647,197009,382110,TRUE,-4.54371777760331,0.476952444671,9.56430261210722,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.506516055739933,7.98992992509433,NA
"12",2002,"IA","Democratic Incumbent",540449,456612,1025802,FALSE,8.17282477515154,0.542042061619099,0.178858828679738,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.529334890975622,0.833530474965846,1.81094901563891
"13",2002,"ID","Republican Incumbent",171711,231566,411477,FALSE,-14.5463780478617,0.4257892218004,-19.7126975286291,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.300384917730612,-14.9142849333003,-5.33623290059592
"14",2002,"IL","Republican Open Seat",1847040,1594960,3538891,TRUE,7.12313546814525,0.536618245206275,5.65970799035206,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.481878375049308,4.95123019593079,NA
"15",2002,"KS","Republican Open Seat",441858,376830,835692,TRUE,7.78133570741374,0.539714763133208,-12.0823447775342,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.235923575810692,-12.8391815541167,NA
"16",2002,"MA","Republican Open Seat",985981,1091988,2194179,TRUE,-4.83128313597022,0.474492641613037,14.3753938898768,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.482526245276225,12.6033198006653,NA
"17",2002,"MD","Democratic Open Seat",813422,879592,1706179,TRUE,-3.87825661903001,0.480457928877139,7.1361515291187,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.551655052435016,4.15414912828447,NA
"18",2002,"ME","Third-Party/Independent Open Seat",238179,209496,505190,TRUE,5.67766582869811,0.532035516836991,3.84983846707207,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,NA,0.485512996935442,NA,NA
"19",2002,"MI","Republican Open Seat",1633796,1506104,3177565,TRUE,4.01854879443851,0.520333768591356,2.4304854100827,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.377843763536323,2.24745644054113,NA
"20",2002,"MN","Third-Party/Independent Open Seat",821268,999473,2252473,TRUE,-7.91152657545729,0.451062506968317,1.93308338391012,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,NA,0.350068814600932,NA,NA
"21",2002,"NE","Republican Incumbent",132348,330349,480991,FALSE,-41.1652193076378,0.286036001962407,-15.3998890646516,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.460307608687668,-15.1420969631697,10.8838482249791
"22",2002,"NH","Democratic Open Seat",169277,259663,442976,TRUE,-20.4042656938525,0.394640276029281,-0.474756399122866,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.50198057468457,0.526902814230158,0.00749396318807705,NA
"23",2002,"NM","Republican Open Seat",268693,189074,484233,TRUE,16.4422912110492,0.586964547466287,-0.346595630652317,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.454689464470837,-0.0960063830114368,NA
"24",2002,"NV","Republican Incumbent",110935,344001,504079,FALSE,-46.2360066576866,0.243847486239823,-2.62256882883463,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.448776752762985,-3.50355059988452,-1.90778373077436
"25",2002,"NY","Republican Incumbent",1534064,2262255,4579078,FALSE,-15.9025681589176,0.404092490646861,12.4528854312369,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.379092283818586,9.98306537448565,-22.3628465995844
"26",2002,"OH","Republican Incumbent",1236924,1865007,3228992,FALSE,-19.4513643886389,0.398759353447901,-1.84115924318057,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.47171440017346,-1.4098907731952,-1.7076788164162
"27",2002,"OK","Republican Open Seat",448143,441277,1035620,TRUE,0.662984492381375,0.503859818758292,-10.7872284861577,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.414288859278141,-9.10562990190824,NA
"28",2002,"OR","Democratic Open Seat",618004,581785,1260497,TRUE,2.87339041663725,0.515093904011455,-0.0263748738295906,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.682225216019607,0.77866617266764,NA
"29",2002,"PA","Republican Open Seat",1913235,1589408,3581989,TRUE,9.04042418890734,0.546226092696287,1.52508758491843,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.350855456499485,0.858392889654004,NA
"30",2002,"RI","Republican Open Seat",150229,181827,332056,TRUE,-9.51586479389019,0.452420676030549,15.111317604682,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.452547452547453,12.8144472489516,NA
"31",2002,"SC","Democratic Incumbent",521140,585422,1107725,FALSE,-5.8030648401002,0.470954180606238,-8.29245510166128,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.540782311569992,-7.97401475728566,11.7632363073275
"32",2002,"SD","Republican Open Seat",140263,189920,334559,TRUE,-14.8425240391082,0.424803820911434,-10.5710035709561,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.339052099613636,-6.41509098465975,NA
"33",2002,"TN","Republican Open Seat",837284,786803,1653167,TRUE,3.05359349660379,0.515541347230783,-2.52706229631119,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.300452218438943,-2.78515257805983,NA
"34",2002,"TX","Republican Incumbent",1819798,2632591,4553987,FALSE,-17.8479429124413,0.408723945728911,-10.2589312498448,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.313552860476666,-6.95565182428731,-11.9780717350035
"35",2002,"VT","Democratic Open Seat",97565,103436,230161,TRUE,-2.55082311946855,0.485395595046791,5.99939797570349,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.50198057468457,0.570735261238619,8.05102963144901,NA
"36",2002,"WI","Republican Incumbent",800515,734779,1775349,FALSE,3.70270859419754,0.52140827750255,0.189527599838829,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.393426270025109,0.738381125392264,-11.6847637298388
"37",2002,"WY","Republican Open Seat",92662,88873,185459,TRUE,2.04303916229463,0.510436004076349,-18.9852813818538,4,-3.1354998068249,0.484180008856554,0.383912664655874,0.593256722507739,0.502890096069574,0.421182339319836,-10.9635874297454,NA
"38",2004,"KY","Democratic Open Seat",487159,596284,1083443,TRUE,-10.0720573209666,0.449639713395167,-7.04015024981849,5,-1.32756404221677,0.493314835498195,-3.1354998068249,0.383912664655874,0.50198057468457,0.732186563579386,-3.53566068427558,NA
"39",2004,"LA","Republican Open Seat",731358,676484,1407842,TRUE,3.89773852463558,0.519488692623178,-2.69079769975446,5,-1.32756404221677,0.493314835498195,-3.1354998068249,0.383912664655874,0.50198057468457,0.322018813655224,1.18726967257379,NA
"40",2004,"MS","Democratic Incumbent",409787,470404,894487,FALSE,-6.77673347963693,0.46556599647122,-8.51401633512259,5,-1.32756404221677,0.493314835498195,-3.1354998068249,0.383912664655874,0.50198057468457,0.505564040148054,-7.69218367901061,8.05053022535904
"41",2004,"DE","Democratic Incumbent",185687,167115,365008,FALSE,5.08810765791435,0.526320712467616,5.83438995421675,5,-1.32756404221677,0.493314835498195,-3.1354998068249,0.383912664655874,0.50198057468457,0.598489531623675,3.36759715438455,6.28329853952599
"42",2004,"IN","Democratic Open Seat",1113900,1302912,2448498,TRUE,-7.71950804125631,0.46089642057388,-8.16726128108993,5,-1.32756404221677,0.493314835498195,-3.1354998068249,0.383912664655874,0.50198057468457,0.575728345813033,-7.71967189599316,NA
"43",2004,"MO","Democratic Open Seat",1195208,1350134,2579051,TRUE,-6.00709330680161,0.469566761558957,-1.77377491634803,5,-1.32756404221677,0.493314835498195,-3.1354998068249,0.383912664655874,0.50198057468457,0.504694493443471,-0.112623863824728,NA
