"","state","year","absenteeexcusereq","pollhours","avgpollhours","maxpollhours","minpollhours","regdeadlines","voteridlaws","novoterid","noallmailvote","noearlyvote","nofelonreg","nofelonsregafterincar","nonstrictid","nonstrictphoto","noonlineregistration","nopermanentabsentee","nopollplacereg","nopr","nosamedayreg","nostateholiday","pr16","pr17","pr175","pr60","pr90","strictid","strictphoto"
"207","CT",2016,1,6,14,14,14,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"208","DE",2016,1,7,13,13,13,24,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"209","FL",2016,0,8,12,12,12,28,2,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
"210","GA",2016,0,8,12,12,12,28,4,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
"211","HI",2016,0,9,11,11,11,29,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"212","ID",2016,0,7.5,12.5,13,12,0,2,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"213","IL",2016,0,7,13,13,13,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"214","IN",2016,1,8,12,12,12,28,4,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
"215","IA",2016,0,6,14,14,14,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"216","KS",2016,0,8,12,12,12,21,4,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
"217","KY",2016,1,8,12,12,12,28,1,0,1,1,1,1,1,0,0,1,1,1,1,0.5,0,0,0,0,0,0,0
"218","LA",2016,1,6,14,14,14,28,2,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"219","ME",2016,0,8,12,14,10,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"220","MD",2016,0,7,13,13,13,21,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"221","MA",2016,1,6.375,13.625,14.25,13,20,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
"222","MI",2016,1,7,13,13,13,28,2,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"223","MN",2016,0,7,13,13,13,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"224","MS",2016,1,8,12,12,12,30,4,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"225","MO",2016,1,7,13,13,13,27,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0
"226","MT",2016,0,7,13,13,13,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"227","NE",2016,0,8,12,12,12,18,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
"228","NV",2016,0,8,12,12,12,21,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"229","NH",2016,1,9,11,14,8,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"230","NJ",2016,0,6,14,14,14,21,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
"231","NM",2016,0,8,12,12,12,28,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"232","NY",2016,1,5,15,15,15,25,0,1,1,1,1,1,0,0,0,1,1,1,1,0.75,0,0,0,0,0,0,0
"233","NC",2016,0,7,13,13,13,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"234","ND",2016,0,9.5,10.5,14,7,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"235","OH",2016,0,7,13,13,13,28,3,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
"236","OK",2016,0,8,12,12,12,25,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"237","OR",2016,0,0,20,20,20,21,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
"238","PA",2016,1,7,13,13,13,28,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"239","RI",2016,1,8,12,13,11,30,2,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
"240","SC",2016,1,8,12,12,12,30,2,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"241","SD",2016,0,8,12,12,12,15,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"242","TN",2016,0,8.5,11.5,13,10,28,4,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"243","TX",2016,0,8,12,12,12,28,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0
"244","UT",2016,0,7,13,13,13,11,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"245","VT",2016,0,8.5,11.5,14,9,6,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"246","VA",2016,1,7,13,13,13,22,4,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
"247","WA",2016,0,0,20,20,20,8,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"248","WV",2016,0,7,13,13,13,21,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"249","WI",2016,0,7,13,13,13,0,4,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
"250","WY",2016,0,8,12,12,12,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"251","AL",2020,1,8,12,12,12,15,2,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"252","AK",2020,0,7,13,13,13,30,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0
"253","AZ",2020,0,7,13,13,13,29,3,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
"254","AR",2020,1,8,12,12,12,30,2,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"255","CA",2020,0,7,13,13,13,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"256","CO",2020,0,8,12,12,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"257","CT",2020,1,6,14,14,14,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"258","DE",2020,1,7,13,13,13,24,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"259","FL",2020,0,8,12,12,12,29,2,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
"260","GA",2020,0,8,12,12,12,29,4,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
"261","HI",2020,0,9,11,11,11,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"262","ID",2020,0,7.5,12.5,13,12,0,2,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"263","IL",2020,0,7,13,13,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"264","IN",2020,1,8,12,12,12,29,4,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
"265","IA",2020,0,6,14,14,14,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"266","KS",2020,0,8,12,12,12,21,4,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
"267","KY",2020,1,8,12,12,12,29,1,0,1,1,1,1,1,0,0,1,1,0,1,0.5,0,1,0,0,0,0,0
"268","LA",2020,1,6.5,13.5,14,13,30,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"269","ME",2020,0,8,12,14,10,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"270","MD",2020,0,7,13,13,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"271","MA",2020,1,6.375,13.625,14.25,13,20,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
"272","MI",2020,0,7,13,13,13,0,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"273","MN",2020,0,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"274","MS",2020,1,8,12,12,12,30,4,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
"275","MO",2020,1,7,13,13,13,27,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0
"276","MT",2020,0,9.5,10.5,13,8,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"277","NE",2020,0,8,12,12,12,11,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"278","NV",2020,0,8,12,12,12,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"279","NH",2020,1,9.5,10.5,13,8,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"280","NJ",2020,0,6,14,14,14,21,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"281","NM",2020,0,8,12,12,12,28,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"282","NY",2020,1,5,15,15,15,25,0,1,1,0,1,1,0,0,0,0,1,0,1,0.75,1,0,0,0,0,0,0
"283","NC",2020,0,7,13,13,13,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"284","ND",2020,0,9.5,10.5,14,7,0,3,0,1,0,1,0,0,0,0,1,0,NA,0,1,NA,NA,NA,NA,NA,1,0
"285","OH",2020,0,7,13,13,13,30,3,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0
"286","OK",2020,0,8,12,12,12,25,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"287","OR",2020,0,0,20,20,20,21,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"288","PA",2020,0,7,13,13,13,15,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"289","RI",2020,0,7,13,13,13,30,2,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"290","SC",2020,1,8,12,12,12,30,2,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"291","SD",2020,0,8,12,12,12,15,2,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"292","TN",2020,1,8.5,11.5,13,10,30,4,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
"293","TX",2020,1,8,12,12,12,30,2,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0
"294","UT",2020,0,7,13,13,13,11,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"295","VT",2020,0,8.5,11.5,14,9,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"296","VA",2020,0,7,13,13,13,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"297","WA",2020,0,0,20,20,20,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"298","WV",2020,1,7,13,13,13,21,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"299","WI",2020,0,7,13,13,13,0,4,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"300","WY",2020,0,8,12,12,12,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"301","AL",2022,1,8,12,NA,12,15,2,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
"302","AK",2022,0,8,12,NA,12,30,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0
"303","AZ",2022,0,7,13,NA,13,29,3,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"304","AR",2022,1,8,12,NA,12,30,4,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"305","CA",2022,0,0,20,NA,13,15,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"306","CO",2022,0,1,19,NA,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"307","CT",2022,1,6,14,NA,14,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"308","DE",2022,1,7,13,NA,13,24,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"309","FL",2022,0,8,12,NA,12,29,2,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
"310","GA",2022,0,7.5,12.5,13,12,29,4,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
"311","HI",2022,0,1,19,NA,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"312","ID",2022,0,7.5,12.5,13,12,0,2,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"313","IL",2022,0,7,13,NA,13,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"314","IN",2022,1,8,12,NA,12,29,4,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"315","IA",2022,0,6,14,NA,14,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"316","KS",2022,0,8,12,NA,12,21,4,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
"317","KY",2022,1,8,12,NA,12,29,1,0,1,0,1,1,1,0,0,1,1,1,1,0.5,0,0,0,0,0,0,0
"318","LA",2022,1,6,14,NA,14,30,2,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"319","ME",2022,0,8,12,14,10,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"320","MD",2022,0,7,13,NA,13,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"321","MA",2022,1,6.375,13.625,14.25,13,10,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
"322","MI",2022,0,7,13,NA,13,0,2,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"323","MN",2022,0,7,13,NA,13,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"324","MS",2022,1,8,12,NA,12,30,4,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"325","MO",2022,1,7,13,NA,13,27,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0
"326","MT",2022,0,8,12,NA,12,1,2,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"327","NE",2022,0,8,12,NA,12,11,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"328","NV",2022,0,1,19,NA,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"329","NH",2022,1,9.5,10.5,13,8,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"330","NJ",2022,0,6,14,NA,14,21,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"331","NM",2022,0,8,12,NA,12,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"332","NY",2022,1,5,15,NA,15,25,0,1,1,0,1,0,0,0,0,1,1,0,1,0.75,1,0,0,0,0,0,0
"333","NC",2022,0,7,13,NA,13,2,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
"334","ND",2022,0,8,12,14,10,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
"335","OH",2022,0,7,13,NA,13,30,3,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
"336","OK",2022,0,8,12,NA,12,25,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"337","OR",2022,0,0,20,20,NA,21,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"338","PA",2022,0,7,13,NA,13,15,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"339","RI",2022,0,7,13,NA,13,30,2,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
"340","SC",2022,1,8,12,NA,12,30,2,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
"341","SD",2022,0,8,12,NA,12,15,2,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"342","TN",2022,1,8.5,11.5,13,10,30,4,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
"343","TX",2022,1,8,12,NA,12,30,2,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0
"344","UT",2022,0,8,12,NA,12,11,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"345","VT",2022,0,1,19,14,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"346","VA",2022,0,7,13,NA,13,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"347","WA",2022,0,0,20,20,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"348","WV",2022,1,7,13,NA,13,21,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"349","WI",2022,0,7,13,NA,13,0,4,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"350","WY",2022,0,8,12,NA,12,0,3,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
