"","year","state","district","white_pct","black_pct","asian_pct","hispanic_pct","median_income","impoverished_pct","median_age","renting_pct"
"1",2002,"AL",1,0.687086658710624,0.280103987966485,0.0109644215708212,NA,20188,0.184612826632853,37.3,0.266974963327615
"2",2002,"AL",2,0.674949724578124,0.298485775831234,0.00719832759703355,NA,20268,0.165467740268824,37.2,0.288739100368024
"3",2002,"AL",3,0.653224459075639,0.314389017844543,0.00912908704263323,NA,18797,0.187540450712176,36.6,0.304564056896208
"4",2002,"AL",4,0.917857970790511,0.0474192922667869,0.00195076871641942,NA,18606,0.161741908725471,38.9,0.244481626975804
"5",2002,"AL",5,0.784644725135685,0.165597399279014,0.0129712806272762,NA,22070,0.143615334648881,38.6,0.248681630253084
"6",2002,"AL",6,0.877283396490195,0.0936624848239579,0.0107987196939038,NA,27068,0.0835465950480115,37.6,0.196949339612229
"7",2002,"AL",7,0.332555625588787,0.645885434669161,0.00716711058699144,NA,16201,0.276374289219175,35.3,0.392903374472209
"8",2002,"AK",1,0.691689885371281,0.0344431562478573,0.044938322394051,NA,26161,0.111053973359263,33.9,0.328596094271057
"9",2002,"AZ",1,0.667258649597002,0.0107075777274082,0.0057681275006708,NA,19587,0.20625169552707,36.3,0.278543781288497
"10",2002,"AZ",2,0.821814205229065,0.0296051274859976,0.0220809966497879,0.175152574289744,25682,0.0989178685439481,38.6,0.212000193258803
"11",2002,"AZ",3,0.831648750779616,0.0296926783333945,0.0256830049773147,NA,29186,0.0936517836396767,36.3,0.317218206943782
"12",2002,"AZ",4,0.652948426550174,0.0658035131069095,0.011719223368693,NA,20099,0.256619957261042,27.6,0.474421649676502
"13",2002,"AZ",5,0.837176746757489,0.0324517134232692,0.0373919779092422,NA,29083,0.0905582114527807,34.9,0.350675997291872
"14",2002,"AZ",6,0.828010983527009,0.0264963790696658,0.0332311485098877,0.191805819705496,29250,0.0907382834329501,34.4,0.218588515591043
"15",2002,"AZ",7,0.598360756763419,0.0238532487007251,0.015346165170532,NA,20044,0.204923207548462,30.7,0.325772546441801
"16",2002,"AZ",8,0.835020801463966,0.0315353053025862,0.0234977911847542,NA,24927,0.108959640870945,40.7,0.294188456974566
"17",2002,"AR",1,0.811330349877949,0.164939642714013,0.00423988681490837,NA,17111,0.202436758437268,37.8,0.31090985268936
"18",2002,"AR",2,0.750465881548142,0.199698061578926,0.0102670857634855,NA,22591,0.139555112607698,36.1,0.311376945350325
"19",2002,"AR",3,0.872777545707797,0.0221090458419668,0.0171710269696056,NA,20687,0.145697837507366,35.4,0.327494391129824
"20",2002,"AR",4,0.718064482937636,0.240351022151687,0.00479857071811749,NA,17210,0.200323958088117,39,0.286634312430917
"21",2002,"CA",1,0.803205564028592,0.0107418704789205,0.0494126042030344,NA,23614,0.146482975322026,36.6,0.370065477174865
"22",2002,"CA",2,0.789766302025344,0.0106587090941333,0.0387844449418735,NA,20541,0.151258317804826,36.7,0.362938274547881
"23",2002,"CA",3,0.729411973232838,0.0500425394990156,0.101612137937052,NA,31105,0.0792134555707655,35.7,0.276403121744774
"24",2002,"CA",4,0.867153772777783,0.00972292269286044,0.0363503286631649,NA,27813,0.0784703500729816,39.6,0.260539488046888
"25",2002,"CA",5,0.494187482306455,0.149066985501834,0.163029074635137,NA,23369,0.194704284397757,32.5,0.455169827913336
"26",2002,"CA",6,0.810039961175008,0.0170605975023454,0.0444734441598577,NA,32832,0.0786952725053482,40.4,0.335419040477327
"27",2002,"CA",7,0.491276965054112,0.162074874560924,0.158557521760162,0.234135553244027,29644,0.104023535437527,35.6,0.317613005826949
"28",2002,"CA",8,0.54366425739002,0.0750003811253191,0.304610600026763,0.158604031120153,31446,0.129425076690884,38.9,0.602672620126466
"29",2002,"CA",9,0.441811749138838,0.229340017098262,0.158560546344455,0.213601617168921,27270,0.168002919703164,36.2,0.467655788328187
"30",2002,"CA",10,0.632031902606978,0.0670448684889118,0.124224044628784,NA,35461,0.0772911839266647,36.7,0.281328403634805
"31",2002,"CA",11,0.719008871590341,0.044077458787576,0.124281069933563,NA,33449,0.0826385568238585,35.3,0.263595224674829
"32",2002,"CA",12,0.527924884269934,0.0263157468937743,0.329029356037623,0.157907425655264,37081,0.0656809587837543,40.5,0.336782987316211
"33",2002,"CA",13,0.393661039651123,0.0760448861653393,0.353744234378979,NA,34131,0.0901622077101327,35.9,0.343310307531229
"34",2002,"CA",14,0.659376799135626,0.0237497732596197,0.196542504948855,NA,41602,0.0743077517606884,38.7,0.39076634305228
"35",2002,"CA",15,0.505429189408669,0.0225678746281243,0.339450443908267,NA,37241,0.0803657460547994,36.7,0.378472205954696
"36",2002,"CA",16,0.515666377408395,0.02983576320955,0.280001472975699,NA,30915,0.10156967975587,33.8,0.335713576673188
"37",2002,"CA",17,0.698167650462115,0.0187092017830377,0.05515927070568,NA,24436,0.137236617045619,33,0.433149919359695
"38",2002,"CA",18,0.650875460749766,0.0510610636406543,0.106086095418996,NA,17684,0.198710914086999,29.2,0.425192769305162
"39",2002,"CA",19,0.762100132820063,0.0359205105693253,0.0474705094437316,NA,24639,0.12106745683348,33.4,0.33424787825578
"40",2002,"CA",20,0.541983507490872,0.0512605438751102,0.0582210751605187,NA,14825,0.307560115825255,27,0.501329787234043
"41",2002,"CA",21,0.672910668862544,0.0244829142029399,0.0645227528925654,NA,20105,0.203896704368147,30,0.387139311092393
"42",2002,"CA",22,0.722273766930286,0.0618560396934086,0.0359807555800931,NA,24436,0.151493163355298,33.7,0.327909427901541
