"","year","mean_specials_differential"
"1",2002,57.968002038736
"2",2004,63.2938164586468
"3",2006,53.6542884946873
"4",2008,51.4624949872817
"5",2010,48.9703758130068
"6",2012,45.9084194780605
"7",2014,48.4120026528471
"8",2016,41.7889420875321
"9",2018,56.1740826217041
"10",2020,51.8307051192992
"11",2022,50.7935353564394
"12",2024,53.2082053596671
