"","Geography","County","State","Total Population","Percent one race","Percent White alone","Percent Black alone","Percent Native American alone","Percent Asian alone","Percent Pacific Islander alone","Percent Other alone","Percent multiracial","Percent Hispanic or Latino","Estimated Median Household Income","Percent high school graduate or higher 25 years and over","Percent bachelor's degree or higher 25 years and over","rank"
"3002","0500000US54017","Doddridge","West Virginia",7808,"96.64%","93.55%","2.23%","0.23%","0.19%","0.00%","0.45%","3.36%","1.65%",56587,"82.0","12.0",49
"3003","0500000US54019","Fayette","West Virginia",40488,"95.29%","90.11%","4.15%","0.26%","0.26%","0.00%","0.51%","4.71%","1.31%",50090,"85.0","15.8",13
"3004","0500000US54021","Gilmer","West Virginia",7408,"97.34%","83.96%","12.65%","0.15%","0.42%","0.04%","0.12%","2.66%","3.97%",51552,"83.0","20.2",51
"3005","0500000US54023","Grant","West Virginia",10976,"97.24%","95.56%","0.77%","0.19%","0.22%","0.00%","0.49%","2.76%","0.44%",52877,"87.7","13.2",43
"3006","0500000US54025","Greenbrier","West Virginia",32977,"96.01%","92.06%","2.40%","0.21%","0.60%","0.02%","0.71%","3.99%","2.05%",45519,"88.1","20.9",16
"3007","0500000US54027","Hampshire","West Virginia",23093,"96.20%","94.29%","0.81%","0.15%","0.26%","0.02%","0.66%","3.80%","1.61%",55222,"87.7","14.6",27
"3008","0500000US54029","Hancock","West Virginia",29095,"95.02%","91.63%","2.42%","0.12%","0.38%","0.03%","0.43%","4.98%","1.61%",57515,"90.5","19.1",19
"3009","0500000US54031","Hardy","West Virginia",14299,"95.59%","89.76%","2.90%","0.24%","0.41%","0.00%","2.27%","4.41%","4.69%",49205,"86.5","14.9",38
"3010","0500000US54033","Harrison","West Virginia",65921,"94.83%","91.52%","1.70%","0.24%","0.74%","0.04%","0.59%","5.17%","1.80%",56184,"88.6","24.7",7
"3011","0500000US54035","Jackson","West Virginia",27791,"96.73%","95.41%","0.36%","0.17%","0.33%","0.01%","0.46%","3.27%","1.12%",55173,"90.4","18.6",21
"3012","0500000US54037","Jefferson","West Virginia",57701,"91.79%","81.15%","5.99%","0.24%","1.45%","0.02%","2.93%","8.21%","6.49%",93744,"90.4","32.2",9
"3013","0500000US54039","Kanawha","West Virginia",180745,"94.71%","85.00%","7.52%","0.22%","1.19%","0.03%","0.75%","5.29%","1.16%",55226,"90.6","28.2",1
"3014","0500000US54041","Lewis","West Virginia",17033,"96.08%","94.89%","0.41%","0.14%","0.34%","0.05%","0.27%","3.92%","1.34%",50552,"87.8","17.6",34
"3015","0500000US54043","Lincoln","West Virginia",20463,"97.42%","96.73%","0.24%","0.11%","0.13%","0.00%","0.22%","2.58%","1.24%",50985,"82.2","8.1",31
"3016","0500000US54045","Logan","West Virginia",32567,"97.15%","94.83%","1.78%","0.13%","0.21%","0.00%","0.20%","2.85%","1.06%",42194,"81.1","13.3",17
"3017","0500000US54047","McDowell","West Virginia",19111,"96.59%","84.74%","11.32%","0.12%","0.10%","0.02%","0.29%","3.41%","2.02%",28235,"77.5","6.6",32
"3018","0500000US54049","Marion","West Virginia",56205,"94.45%","89.99%","3.32%","0.25%","0.46%","0.08%","0.36%","5.55%","1.40%",59974,"91.4","25.1",11
"3019","0500000US54051","Marshall","West Virginia",30591,"95.92%","94.14%","0.86%","0.13%","0.35%","0.02%","0.42%","4.08%","0.98%",58129,"92.4","19.0",18
"3020","0500000US54053","Mason","West Virginia",25453,"97.28%","95.87%","0.76%","0.15%","0.33%","0.02%","0.16%","2.72%","1.28%",53058,"85.6","15.5",23
"3021","0500000US54055","Mercer","West Virginia",59664,"95.57%","88.08%","6.23%","0.29%","0.50%","0.01%","0.45%","4.43%","1.29%",46409,"86.4","20.6",8
"3022","0500000US54057","Mineral","West Virginia",26938,"95.49%","91.82%","2.68%","0.15%","0.43%","0.02%","0.39%","4.51%","1.06%",64728,"93.9","23.1",22
"3023","0500000US54059","Mingo","West Virginia",23568,"97.20%","94.97%","1.74%","0.15%","0.14%","0.00%","0.20%","2.80%","0.27%",38305,"76.6","9.6",26
"3024","0500000US54061","Monongalia","West Virginia",105822,"93.87%","85.06%","3.93%","0.17%","3.55%","0.07%","1.09%","6.13%","2.28%",60893,"93.9","48.3",3
"3025","0500000US54063","Monroe","West Virginia",12376,"96.77%","95.11%","0.91%","0.23%","0.09%","0.00%","0.43%","3.23%","1.97%",52392,"88.5","15.2",41
"3026","0500000US54065","Morgan","West Virginia",17063,"95.54%","93.68%","0.66%","0.23%","0.49%","0.00%","0.48%","4.46%","1.94%",61021,"88.2","18.7",33
"3027","0500000US54067","Nicholas","West Virginia",24604,"96.85%","95.93%","0.25%","0.18%","0.30%","0.03%","0.15%","3.15%","0.99%",48826,"89.1","18.4",24
"3028","0500000US54069","Ohio","West Virginia",42425,"94.76%","89.03%","3.92%","0.18%","0.92%","0.05%","0.66%","5.24%","1.27%",55521,"93.0","33.2",12
"3029","0500000US54071","Pendleton","West Virginia",6143,"97.10%","95.15%","1.33%","0.23%","0.00%","0.08%","0.31%","2.90%","1.47%",52458,"83.1","19.2",54
"3030","0500000US54073","Pleasants","West Virginia",7653,"96.73%","94.71%","1.24%","0.29%","0.22%","0.00%","0.27%","3.27%","2.61%",59666,"87.7","12.1",50
"3031","0500000US54075","Pocahontas","West Virginia",7869,"96.95%","95.27%","0.72%","0.33%","0.11%","0.05%","0.46%","3.05%","0.75%",41680,"83.2","14.8",48
"3032","0500000US54077","Preston","West Virginia",34216,"96.69%","90.11%","5.97%","0.22%","0.17%","0.01%","0.20%","3.31%","2.33%",60136,"86.8","17.6",15
"3033","0500000US54079","Putnam","West Virginia",57440,"95.92%","92.90%","1.14%","0.17%","1.00%","0.01%","0.69%","4.08%","1.28%",75725,"93.6","29.5",10
"3034","0500000US54081","Raleigh","West Virginia",74591,"95.54%","85.83%","7.84%","0.18%","1.11%","0.02%","0.55%","4.46%","1.62%",47975,"85.3","20.6",6
"3035","0500000US54083","Randolph","West Virginia",27932,"96.24%","93.60%","1.55%","0.22%","0.37%","0.00%","0.50%","3.76%","0.99%",51186,"87.7","17.6",20
"3036","0500000US54085","Ritchie","West Virginia",8444,"97.48%","96.58%","0.20%","0.11%","0.27%","0.08%","0.24%","2.52%","0.31%",48973,"83.5","12.3",44
"3037","0500000US54087","Roane","West Virginia",14028,"95.91%","94.85%","0.28%","0.20%","0.27%","0.01%","0.31%","4.09%","1.13%",41299,"80.6","13.6",39
"3038","0500000US54089","Summers","West Virginia",11959,"95.64%","91.40%","3.36%","0.29%","0.28%","0.00%","0.32%","4.36%","2.34%",42991,"82.8","16.5",42
"3039","0500000US54091","Taylor","West Virginia",16705,"95.31%","94.04%","0.68%","0.11%","0.25%","0.00%","0.23%","4.69%","0.96%",52946,"87.0","18.3",35
"3040","0500000US54093","Tucker","West Virginia",6762,"96.30%","95.49%","0.31%","0.06%","0.09%","0.01%","0.34%","3.70%","0.13%",54053,"88.9","24.8",52
"3041","0500000US54095","Tyler","West Virginia",8313,"96.51%","96.01%","0.05%","0.20%","0.04%","0.00%","0.22%","3.49%","1.65%",59167,"90.9","16.4",46
"3042","0500000US54097","Upshur","West Virginia",23816,"96.22%","94.37%","0.94%","0.16%","0.37%","0.03%","0.37%","3.78%","1.41%",49663,"87.3","16.6",25
"3043","0500000US54099","Wayne","West Virginia",38982,"96.91%","95.79%","0.43%","0.14%","0.21%","0.03%","0.31%","3.09%","0.74%",52694,"84.2","18.3",14
"3044","0500000US54101","Webster","West Virginia",8378,"97.37%","96.74%","0.16%","0.17%","0.05%","0.02%","0.24%","2.63%","0.63%",43409,"79.9","11.5",45
"3045","0500000US54103","Wetzel","West Virginia",14442,"96.27%","95.22%","0.24%","0.12%","0.35%","0.00%","0.34%","3.73%","1.11%",50715,"90.0","13.4",37
"3046","0500000US54105","Wirt","West Virginia",5194,"96.96%","96.52%","0.12%","0.08%","0.00%","0.08%","0.17%","3.04%","0.00%",52776,"85.8","15.2",55
"3047","0500000US54107","Wood","West Virginia",84296,"95.35%","92.73%","1.23%","0.21%","0.67%","0.03%","0.48%","4.65%","1.43%",54350,"90.9","22.0",5
"3048","0500000US54109","Wyoming","West Virginia",21382,"97.18%","96.31%","0.50%","0.15%","0.08%","0.00%","0.14%","2.82%","0.85%",44510,"76.4","11.4",30
"3049","0500000US55001","Adams","Wisconsin",20654,"96.11%","90.70%","2.92%","0.96%","0.41%","0.05%","1.07%","3.89%","4.51%",55223,"88.4","15.6",51
"3050","0500000US55003","Ashland","Wisconsin",16027,"94.42%","79.81%","0.70%","13.00%","0.52%","0.06%","0.32%","5.58%","3.27%",57000,"95.1","20.7",63
"3051","0500000US55005","Barron","Wisconsin",46711,"95.80%","91.13%","1.75%","1.01%","0.74%","0.01%","1.16%","4.20%","2.95%",59379,"90.6","20.7",30
"3052","0500000US55007","Bayfield","Wisconsin",16220,"94.82%","83.19%","0.36%","10.46%","0.22%","0.01%","0.58%","5.18%","2.40%",67266,"95.8","33.6",61
"3053","0500000US55009","Brown","Wisconsin",268740,"92.78%","79.23%","3.13%","2.82%","3.17%","0.05%","4.39%","7.22%","9.44%",74066,"92.9","31.7",4
"3054","0500000US55011","Buffalo","Wisconsin",13317,"97.00%","95.00%","0.32%","0.31%","0.17%","0.09%","1.10%","3.00%","2.57%",64238,"91.9","21.0",67
"3055","0500000US55013","Burnett","Wisconsin",16526,"94.92%","89.29%","0.39%","4.36%","0.32%","0.06%","0.49%","5.08%","2.11%",60466,"92.7","22.1",60
"3056","0500000US55015","Calumet","Wisconsin",52442,"95.38%","88.67%","0.85%","0.48%","2.44%","0.08%","2.87%","4.62%","4.69%",84151,"94.8","31.7",27
"3057","0500000US55017","Chippewa","Wisconsin",66297,"96.03%","91.81%","1.62%","0.54%","1.47%","0.03%","0.56%","3.97%","1.90%",69815,"92.7","23.2",24
"3058","0500000US55019","Clark","Wisconsin",34659,"96.84%","92.25%","0.34%","0.50%","0.31%","0.01%","3.43%","3.16%","5.56%",63187,"82.2","13.1",41
"3059","0500000US55021","Columbia","Wisconsin",58490,"95.90%","91.88%","1.55%","0.55%","0.65%","0.02%","1.26%","4.10%","3.85%",79271,"93.9","24.2",26
"3060","0500000US55023","Crawford","Wisconsin",16113,"96.64%","93.76%","1.67%","0.32%","0.45%","0.01%","0.43%","3.36%","1.84%",60823,"91.8","17.5",62
"3061","0500000US55025","Dane","Wisconsin",561504,"93.06%","77.55%","5.43%","0.43%","6.37%","0.04%","3.24%","6.94%","6.77%",84297,"96.0","54.0",2
"3062","0500000US55027","Dodge","Wisconsin",89396,"95.42%","88.81%","3.09%","0.49%","0.58%","0.01%","2.44%","4.58%","5.49%",71747,"92.2","19.6",19
"3063","0500000US55029","Door","Wisconsin",30066,"95.37%","92.31%","0.48%","0.48%","0.48%","0.01%","1.60%","4.63%","3.69%",68257,"95.8","35.3",44
"3064","0500000US55031","Douglas","Wisconsin",44295,"94.09%","89.70%","1.32%","1.81%","0.65%","0.04%","0.58%","5.91%","1.81%",64682,"94.4","27.2",34
"3065","0500000US55033","Dunn","Wisconsin",45440,"96.20%","90.66%","0.89%","0.46%","3.21%","0.03%","0.95%","3.80%","2.14%",69721,"94.1","28.6",32
"3066","0500000US55035","Eau Claire","Wisconsin",105710,"95.26%","88.24%","1.19%","0.50%","4.16%","0.08%","1.10%","4.74%","2.78%",70127,"96.1","35.4",15
