"","Geography","County","State","Total Population","Percent one race","Percent White alone","Percent Black alone","Percent Native American alone","Percent Asian alone","Percent Pacific Islander alone","Percent Other alone","Percent multiracial","Percent Hispanic or Latino","Estimated Median Household Income","Percent high school graduate or higher 25 years and over","Percent bachelor's degree or higher 25 years and over","rank"
"1","0500000US01001","Autauga","Alabama",58805,"94.63%","71.69%","19.46%","0.37%","1.50%","0.06%","1.55%","5.37%","3.17%",68315,"90.4","29.6",24
"2","0500000US01003","Baldwin","Alabama",231767,"93.52%","81.72%","7.86%","0.68%","0.89%","0.06%","2.30%","6.48%","4.84%",71039,"91.6","32.6",4
"3","0500000US01005","Barbour","Alabama",25223,"97.22%","44.87%","47.31%","0.46%","0.46%","0.00%","4.12%","2.78%","4.77%",39712,"76.5","11.9",40
"4","0500000US01007","Bibb","Alabama",22293,"96.60%","74.26%","19.80%","0.27%","0.14%","0.04%","2.09%","3.40%","2.92%",50669,"78.9","10.9",44
"5","0500000US01009","Blount","Alabama",59134,"93.82%","85.67%","1.43%","0.57%","0.30%","0.04%","5.80%","6.18%","9.67%",57440,"81.8","14.7",23
"6","0500000US01011","Bullock","Alabama",10357,"97.61%","22.40%","71.41%","0.70%","0.09%","0.10%","2.92%","2.39%","8.76%",36136,"73.4","9.4",64
"7","0500000US01013","Butler","Alabama",19051,"96.92%","51.19%","44.25%","0.15%","0.75%","0.03%","0.55%","3.08%","1.69%",44429,"87.6","13.0",50
"8","0500000US01015","Calhoun","Alabama",116441,"94.82%","69.21%","21.95%","0.42%","1.02%","0.10%","2.12%","5.18%","4.07%",54339,"85.1","19.2",10
"9","0500000US01017","Chambers","Alabama",34772,"96.52%","54.21%","38.86%","0.30%","1.15%","0.04%","1.96%","3.48%","3.25%",48805,"83.5","12.7",34
"10","0500000US01019","Cherokee","Alabama",24971,"96.32%","90.93%","3.95%","0.44%","0.22%","0.00%","0.76%","3.68%","1.92%",46621,"81.9","14.6",41
"11","0500000US01021","Chilton","Alabama",45014,"95.55%","78.92%","9.03%","0.75%","0.40%","0.01%","6.42%","4.45%","8.14%",62471,"82.2","14.0",29
"12","0500000US01023","Choctaw","Alabama",12665,"97.95%","55.85%","41.31%","0.24%","0.17%","0.00%","0.37%","2.05%","1.13%",43299,"82.4","13.0",59
"13","0500000US01025","Clarke","Alabama",23087,"97.61%","52.10%","44.42%","0.32%","0.41%","0.00%","0.36%","2.39%","1.45%",47549,"81.4","13.8",43
"14","0500000US01027","Clay","Alabama",14236,"95.82%","79.90%","13.79%","0.39%","0.34%","0.03%","1.37%","4.18%","3.07%",48074,"83.3","12.8",56
"15","0500000US01029","Cleburne","Alabama",15056,"96.24%","91.78%","3.10%","0.35%","0.14%","0.01%","0.86%","3.76%","2.66%",51553,"82.5","16.5",54
"16","0500000US01031","Coffee","Alabama",53465,"92.32%","69.35%","16.38%","1.20%","1.70%","0.11%","3.57%","7.68%","8.42%",62199,"86.6","21.6",26
"17","0500000US01033","Colbert","Alabama",57227,"95.29%","76.24%","16.23%","0.47%","0.75%","0.02%","1.58%","4.71%","3.21%",56149,"86.4","18.0",25
"18","0500000US01035","Conecuh","Alabama",11597,"96.82%","50.98%","44.01%","0.62%","0.34%","0.01%","0.85%","3.18%","0.69%",39888,"89.4","13.3",61
"19","0500000US01037","Coosa","Alabama",10387,"96.59%","65.70%","28.96%","0.30%","0.08%","0.00%","1.56%","3.41%","2.73%",52279,"83.5","10.6",63
"20","0500000US01039","Covington","Alabama",37570,"96.16%","82.19%","12.26%","0.39%","0.64%","0.00%","0.68%","3.84%","1.99%",48772,"85.8","16.3",32
"21","0500000US01041","Crenshaw","Alabama",13194,"96.37%","71.15%","23.52%","0.47%","0.63%","0.02%","0.58%","3.63%","2.54%",48557,"82.1","17.2",58
"22","0500000US01043","Cullman","Alabama",87866,"94.70%","90.07%","1.07%","0.46%","0.59%","0.07%","2.43%","5.30%","4.62%",58119,"84.6","18.3",18
"23","0500000US01045","Dale","Alabama",49326,"93.07%","67.77%","20.76%","0.55%","1.36%","0.11%","2.52%","6.93%","7.03%",52813,"85.7","19.2",28
"24","0500000US01047","Dallas","Alabama",38462,"97.90%","27.06%","69.94%","0.17%","0.38%","0.04%","0.31%","2.10%","1.12%",37180,"85.3","15.7",31
"25","0500000US01049","DeKalb","Alabama",71608,"93.43%","78.79%","1.46%","2.78%","0.35%","0.03%","10.01%","6.57%","15.39%",47920,"77.7","14.1",20
"26","0500000US01051","Elmore","Alabama",87977,"95.18%","71.77%","20.70%","0.38%","0.77%","0.04%","1.53%","4.82%","3.11%",73258,"88.5","24.2",17
"27","0500000US01053","Escambia","Alabama",36757,"95.62%","60.40%","29.90%","4.19%","0.31%","0.06%","0.76%","4.38%","2.56%",41153,"82.3","12.6",33
"28","0500000US01055","Etowah","Alabama",103436,"94.92%","75.97%","14.64%","0.71%","0.90%","0.05%","2.64%","5.08%","4.41%",52177,"86.1","17.7",13
"29","0500000US01057","Fayette","Alabama",16321,"96.04%","83.73%","10.64%","0.44%","0.31%","0.04%","0.88%","3.96%","0.37%",45650,"83.7","13.0",52
"30","0500000US01059","Franklin","Alabama",32113,"95.04%","75.77%","3.63%","2.03%","0.21%","0.03%","13.37%","4.96%","18.35%",47359,"80.1","14.8",37
"31","0500000US01061","Geneva","Alabama",26659,"94.30%","82.82%","8.41%","0.68%","0.33%","0.03%","2.04%","5.70%","4.45%",47608,"83.4","13.9",39
"32","0500000US01063","Greene","Alabama",7730,"98.21%","16.83%","80.80%","0.06%","0.09%","0.00%","0.43%","1.79%","0.31%",32796,"81.9","16.7",67
"33","0500000US01065","Hale","Alabama",14785,"97.94%","40.57%","56.39%","0.26%","0.17%","0.10%","0.45%","2.06%","0.17%",35851,"80.6","16.4",55
"34","0500000US01067","Henry","Alabama",17146,"96.02%","69.33%","24.78%","0.29%","0.43%","0.02%","1.17%","3.98%","2.74%",58395,"81.5","21.0",51
"35","0500000US01069","Houston","Alabama",107202,"94.78%","64.61%","26.50%","0.46%","1.20%","0.06%","1.96%","5.22%","3.59%",55064,"87.6","22.5",11
"36","0500000US01071","Jackson","Alabama",52579,"93.24%","86.50%","3.11%","1.46%","0.41%","0.01%","1.75%","6.76%","3.20%",46748,"82.0","16.2",27
"37","0500000US01073","Jefferson","Alabama",674721,"95.71%","48.85%","41.70%","0.34%","1.94%","0.05%","2.83%","4.29%","4.14%",63595,"91.1","35.6",1
"38","0500000US01075","Lamar","Alabama",13972,"96.84%","85.61%","10.20%","0.25%","0.04%","0.04%","0.69%","3.16%","0.54%",49565,"82.1","10.2",57
"39","0500000US01077","Lauderdale","Alabama",93564,"95.24%","82.45%","9.88%","0.39%","0.82%","0.03%","1.66%","4.76%","3.00%",56081,"88.8","25.8",15
"40","0500000US01079","Lawrence","Alabama",33073,"91.31%","75.33%","9.99%","4.38%","0.26%","0.02%","1.32%","8.69%","2.51%",54786,"82.7","15.8",35
"41","0500000US01081","Lee","Alabama",174241,"94.71%","64.08%","22.71%","0.41%","4.92%","0.07%","2.52%","5.29%","3.89%",59288,"91.7","40.2",8
"42","0500000US01083","Limestone","Alabama",103570,"93.55%","74.41%","12.85%","0.68%","1.80%","0.07%","3.73%","6.45%","6.36%",80146,"87.3","29.5",12
"43","0500000US01085","Lowndes","Alabama",10311,"97.82%","27.33%","69.75%","0.16%","0.15%","0.05%","0.38%","2.18%","0.18%",33125,"83.3","16.3",65
"44","0500000US01087","Macon","Alabama",19532,"97.44%","16.65%","79.05%","0.25%","0.38%","0.02%","1.09%","2.56%","2.32%",41206,"82.7","20.6",47
"45","0500000US01089","Madison","Alabama",388153,"92.43%","62.48%","23.72%","0.77%","2.65%","0.12%","2.69%","7.57%","5.31%",78058,"92.2","45.1",3
"46","0500000US01091","Marengo","Alabama",19323,"97.81%","43.62%","52.72%","0.05%","0.28%","0.02%","1.13%","2.19%","2.80%",42975,"89.1","22.0",48
"47","0500000US01093","Marion","Alabama",29341,"95.53%","89.68%","3.77%","0.36%","0.26%","0.05%","1.41%","4.47%","2.69%",49743,"80.6","11.8",38
"48","0500000US01095","Marshall","Alabama",97612,"93.31%","78.81%","2.49%","1.43%","0.62%","0.14%","9.82%","6.69%","15.11%",58272,"84.4","21.4",14
"49","0500000US01097","Mobile","Alabama",414809,"95.15%","55.34%","35.26%","0.98%","2.07%","0.06%","1.45%","4.85%","3.03%",55352,"88.1","24.2",2
"50","0500000US01099","Monroe","Alabama",19772,"96.85%","52.55%","41.97%","1.46%","0.45%","0.02%","0.40%","3.15%","0.22%",39965,"83.7","13.5",46
"51","0500000US01101","Montgomery","Alabama",228954,"96.42%","32.79%","56.98%","0.35%","3.49%","0.06%","2.74%","3.58%","3.75%",56707,"88.0","33.7",5
"52","0500000US01103","Morgan","Alabama",123421,"93.32%","72.81%","12.52%","0.77%","0.69%","0.07%","6.46%","6.68%","8.79%",61588,"85.2","23.8",9
"53","0500000US01105","Perry","Alabama",8511,"97.93%","27.72%","69.75%","0.19%","0.12%","0.04%","0.13%","2.07%","0.96%",32332,"79.6","15.2",66
"54","0500000US01107","Pickens","Alabama",19123,"97.39%","56.16%","39.16%","0.14%","0.41%","0.00%","1.52%","2.61%","5.16%",45339,"84.9","14.5",49
"55","0500000US01109","Pike","Alabama",33009,"95.89%","55.36%","36.77%","0.58%","1.78%","0.06%","1.33%","4.11%","2.42%",42616,"87.9","27.7",36
"56","0500000US01111","Randolph","Alabama",21967,"96.16%","76.35%","17.37%","0.35%","0.40%","0.01%","1.68%","3.84%","3.05%",49879,"82.0","18.8",45
"57","0500000US01113","Russell","Alabama",59183,"94.24%","46.52%","44.34%","0.39%","0.71%","0.24%","2.05%","5.76%","5.83%",47420,"85.2","16.4",22
"58","0500000US01115","St. Clair","Alabama",91103,"94.89%","83.12%","9.50%","0.36%","0.73%","0.02%","1.17%","5.11%","2.55%",73218,"87.3","19.3",16
"59","0500000US01117","Shelby","Alabama",223024,"93.91%","74.08%","12.98%","0.51%","2.31%","0.05%","3.99%","6.09%","5.92%",90618,"93.8","45.6",7
"60","0500000US01119","Sumter","Alabama",12345,"98.27%","24.09%","72.88%","0.21%","0.83%","0.04%","0.22%","1.73%","0.69%",31726,"88.8","21.8",60
"61","0500000US01121","Talladega","Alabama",82149,"96.46%","62.34%","32.18%","0.25%","0.48%","0.03%","1.16%","3.54%","2.43%",52457,"83.2","16.6",19
"62","0500000US01123","Tallapoosa","Alabama",41311,"96.61%","68.93%","25.20%","0.31%","0.54%","0.00%","1.64%","3.39%","2.44%",53282,"81.9","18.2",30
"63","0500000US01125","Tuscaloosa","Alabama",227036,"95.27%","60.16%","30.43%","0.42%","1.43%","0.05%","2.78%","4.73%","4.08%",61645,"90.6","30.9",6
"64","0500000US01127","Walker","Alabama",65342,"95.82%","87.25%","6.01%","0.49%","0.45%","0.01%","1.60%","4.18%","2.86%",52987,"82.7","15.3",21
"65","0500000US01129","Washington","Alabama",15388,"96.28%","66.99%","21.56%","7.24%","0.09%","0.05%","0.35%","3.72%","1.70%",51184,"88.3","14.2",53
"66","0500000US01131","Wilcox","Alabama",10600,"98.32%","27.17%","70.59%","0.10%","0.07%","0.06%","0.33%","1.68%","0.21%",38208,"77.7","11.6",62
"67","0500000US01133","Winston","Alabama",23540,"95.47%","92.44%","0.60%","0.48%","0.26%","0.04%","1.65%","4.53%","3.26%",49494,"80.0","13.8",42
"68","0500000US02013","Aleutians East Borough","Alaska",3420,"93.92%","20.00%","8.68%","23.45%","22.54%","0.94%","18.30%","6.08%","11.84%",79961,"81.0","16.9",20
"69","0500000US02016","Aleutians West Census Area","Alaska",5232,"92.85%","31.86%","4.95%","13.91%","28.92%","4.57%","8.64%","7.15%","15.33%",100662,"89.5","15.4",18
"70","0500000US02020","Anchorage Municipality","Alaska",291247,"85.99%","56.46%","5.00%","8.12%","9.49%","3.43%","3.47%","14.01%","9.67%",95731,"94.2","37.0",1
"71","0500000US02050","Bethel Census Area","Alaska",18666,"94.56%","8.92%","0.46%","83.75%","1.08%","0.01%","0.34%","5.44%","2.14%",64094,"82.7","9.7",6
"72","0500000US02060","Bristol Bay Borough","Alaska",844,"83.06%","43.84%","0.71%","36.14%","0.59%","0.36%","1.42%","16.94%","8.77%",94167,"95.0","26.3",29
"73","0500000US02063","Chugach Census Area","Alaska",7102,"89.30%","69.09%","0.69%","9.42%","7.45%","0.87%","1.77%","10.70%","5.83%",83068,"94.5","31.5",14
"74","0500000US02066","Copper River Census Area","Alaska",2617,"89.22%","61.56%","0.31%","25.33%","0.65%","0.38%","0.99%","10.78%","6.53%",70606,"92.4","28.1",22
"75","0500000US02068","Denali Borough","Alaska",1619,"91.41%","85.36%","0.68%","3.77%","0.80%","0.31%","0.49%","8.59%","2.16%",87292,"96.7","25.1",26
"76","0500000US02070","Dillingham Census Area","Alaska",4857,"89.79%","16.45%","0.51%","71.09%","0.99%","0.19%","0.56%","10.21%","3.34%",69412,"88.1","20.5",19
"77","0500000US02090","Fairbanks North Star Borough","Alaska",95655,"87.28%","68.97%","4.20%","7.90%","3.24%","0.63%","2.34%","12.72%","8.40%",81655,"94.7","32.9",3
"78","0500000US02100","Haines Borough","Alaska",2080,"88.37%","76.39%","0.10%","10.29%","0.67%","0.10%","0.82%","11.63%","8.17%",68276,"97.7","33.7",25
"79","0500000US02105","Hoonah-Angoon Census Area","Alaska",2365,"87.99%","48.50%","0.25%","37.12%","0.68%","0.21%","1.23%","12.01%","9.73%",62344,"94.0","27.5",23
"80","0500000US02110","Juneau City and Borough","Alaska",32255,"84.69%","62.39%","1.09%","11.20%","6.51%","1.48%","2.02%","15.31%","7.13%",95711,"95.4","40.7",5
"81","0500000US02122","Kenai Peninsula Borough","Alaska",58799,"89.82%","78.88%","0.66%","7.19%","1.38%","0.31%","1.40%","10.18%","4.46%",76272,"94.2","28.0",4
"82","0500000US02130","Ketchikan Gateway Borough","Alaska",13948,"87.80%","60.44%","0.74%","16.73%","8.09%","0.19%","1.61%","12.20%","5.63%",82763,"94.7","28.5",7
"83","0500000US02150","Kodiak Island Borough","Alaska",13101,"90.02%","50.15%","0.69%","13.94%","21.40%","0.89%","2.96%","9.98%","8.78%",91138,"91.2","28.5",8
"84","0500000US02158","Kusilvak Census Area","Alaska",8368,"97.71%","2.07%","0.19%","94.96%","0.27%","0.00%","0.22%","2.29%","0.91%",42663,"81.4","4.6",12
"85","0500000US02164","Lake and Peninsula Borough","Alaska",1476,"88.69%","20.53%","0.14%","67.34%","0.61%","0.07%","0.00%","11.31%","0.07%",61607,"90.8","15.5",27
"86","0500000US02170","Matanuska-Susitna Borough","Alaska",107081,"88.51%","77.54%","1.05%","6.39%","1.46%","0.47%","1.60%","11.49%","5.67%",86435,"94.2","23.7",2
"87","0500000US02180","Nome Census Area","Alaska",10046,"91.63%","14.15%","0.55%","75.21%","1.10%","0.05%","0.56%","8.37%","2.00%",70121,"88.2","18.3",10
"88","0500000US02185","North Slope Borough","Alaska",11031,"91.31%","27.94%","1.47%","52.11%","5.81%","2.91%","1.07%","8.69%","3.88%",83472,"90.7","14.2",9
"89","0500000US02188","Northwest Arctic Borough","Alaska",7793,"94.07%","8.98%","0.92%","83.01%","0.71%","0.15%","0.30%","5.93%","2.52%",77647,"86.1","15.2",13
"90","0500000US02195","Petersburg Borough","Alaska",3398,"87.17%","72.69%","1.44%","7.27%","3.62%","0.35%","1.80%","12.83%","9.01%",77826,"87.0","24.8",21
"91","0500000US02198","Prince of Wales-Hyder Census Area","Alaska",5753,"88.56%","41.77%","0.38%","44.92%","0.47%","0.52%","0.50%","11.44%","4.10%",61779,"92.5","19.4",16
"92","0500000US02220","Sitka City and Borough","Alaska",8458,"85.85%","61.17%","0.44%","14.76%","6.77%","0.17%","2.54%","14.15%","7.40%",95261,"95.2","34.2",11
"93","0500000US02230","Skagway Municipality","Alaska",1240,"93.55%","86.29%","0.81%","2.58%","3.15%","0.00%","0.73%","6.45%","2.58%",79583,"92.7","27.8",28
"94","0500000US02240","Southeast Fairbanks Census Area","Alaska",6808,"91.30%","74.69%","1.09%","12.00%","1.28%","0.24%","2.01%","8.70%","7.21%",75378,"93.7","19.8",15
"95","0500000US02275","Wrangell City and Borough","Alaska",2127,"84.11%","63.56%","0.00%","17.87%","1.18%","0.09%","1.41%","15.89%","5.78%",61000,"87.1","18.0",24
"96","0500000US02282","Yakutat City and Borough","Alaska",662,"82.18%","37.61%","0.60%","38.52%","4.83%","0.15%","0.45%","17.82%","5.59%",76875,"94.0","10.8",30
"97","0500000US02290","Yukon-Koyukuk Census Area","Alaska",5343,"93.73%","21.15%","0.13%","71.72%","0.15%","0.06%","0.52%","6.27%","2.68%",47826,"87.0","14.1",17
"98","0500000US04001","Apache","Arizona",66021,"96.38%","22.53%","0.28%","71.21%","0.47%","0.03%","1.86%","3.62%","7.02%",37483,"84.0","13.8",10
"99","0500000US04003","Cochise","Arizona",125447,"82.83%","65.15%","3.81%","1.20%","2.16%","0.39%","10.11%","17.17%","35.72%",58421,"88.9","26.7",8
"100","0500000US04005","Coconino","Arizona",145101,"91.07%","57.45%","1.35%","24.97%","1.84%","0.18%","5.28%","8.93%","14.69%",67266,"91.5","39.6",7
"101","0500000US04007","Gila","Arizona",53272,"91.38%","67.40%","0.53%","16.76%","0.84%","0.09%","5.77%","8.62%","19.29%",55242,"87.1","18.1",11
"102","0500000US04009","Graham","Arizona",38533,"89.29%","64.99%","1.39%","13.99%","0.50%","0.05%","8.37%","10.71%","33.44%",64089,"84.6","14.0",13
"103","0500000US04011","Greenlee","Arizona",9563,"83.65%","68.85%","0.91%","3.71%","0.78%","0.05%","9.34%","16.35%","47.86%",73756,"85.9","16.7",15
"104","0500000US04012","La Paz","Arizona",16557,"87.55%","59.02%","0.69%","17.11%","0.69%","0.30%","9.74%","12.45%","28.38%",46634,"82.6","12.4",14
"105","0500000US04013","Maricopa","Arizona",4420568,"86.41%","59.85%","5.89%","2.28%","4.61%","0.25%","13.54%","13.59%","31.73%",80675,"89.2","35.0",1
"106","0500000US04015","Mohave","Arizona",213267,"90.48%","79.59%","1.04%","2.43%","1.28%","0.19%","5.94%","9.52%","17.45%",53592,"87.8","14.4",5
"107","0500000US04017","Navajo","Arizona",106717,"94.11%","45.38%","0.71%","44.46%","0.53%","0.08%","2.95%","5.89%","11.93%",50335,"85.6","17.3",9
"108","0500000US04019","Pima","Arizona",1043433,"83.30%","60.70%","3.83%","3.32%","3.01%","0.21%","12.23%","16.70%","38.06%",64323,"89.5","35.0",2
"109","0500000US04021","Pinal","Arizona",425264,"87.07%","63.32%","5.17%","4.97%","1.58%","0.29%","11.76%","12.93%","31.83%",73313,"88.5","21.4",3
"110","0500000US04023","Santa Cruz","Arizona",47669,"64.31%","33.42%","0.39%","0.96%","0.64%","0.04%","28.87%","35.69%","83.35%",51885,"78.0","23.5",12
"111","0500000US04025","Yavapai","Arizona",236209,"90.59%","81.50%","0.65%","1.81%","1.24%","0.12%","5.25%","9.41%","15.27%",62430,"92.1","28.7",4
"112","0500000US04027","Yuma","Arizona",203881,"74.58%","44.30%","2.01%","1.73%","1.27%","0.14%","25.13%","25.42%","65.42%",56439,"76.2","16.4",6
"113","0500000US05001","Arkansas","Arkansas",17149,"95.67%","68.21%","24.23%","0.26%","0.55%","0.05%","2.36%","4.33%","3.78%",58695,"86.0","15.8",41
"114","0500000US05003","Ashley","Arkansas",19062,"96.29%","67.98%","24.49%","0.29%","0.22%","0.03%","3.28%","3.71%","6.11%",44804,"85.9","11.6",36
"115","0500000US05005","Baxter","Arkansas",41627,"94.66%","92.46%","0.22%","0.61%","0.56%","0.02%","0.79%","5.34%","2.69%",47403,"89.6","18.2",17
"116","0500000US05007","Benton","Arkansas",284333,"88.95%","70.76%","1.66%","1.79%","4.83%","0.92%","8.99%","11.05%","17.49%",85269,"90.1","35.5",2
"117","0500000US05009","Boone","Arkansas",37373,"93.77%","91.32%","0.29%","0.74%","0.66%","0.07%","0.69%","6.23%","2.91%",52275,"90.6","16.6",21
"118","0500000US05011","Bradley","Arkansas",10545,"95.83%","55.86%","27.85%","0.87%","0.28%","0.00%","10.96%","4.17%","15.87%",43688,"85.8","12.5",59
"119","0500000US05013","Calhoun","Arkansas",4739,"95.61%","74.68%","19.27%","0.21%","0.13%","0.19%","1.14%","4.39%","4.92%",60237,"85.3","12.5",75
"120","0500000US05015","Carroll","Arkansas",28260,"91.66%","77.68%","0.34%","1.31%","2.01%","1.57%","8.76%","8.34%","15.63%",56826,"85.8","21.4",23
"121","0500000US05017","Chicot","Arkansas",10208,"96.66%","38.72%","53.07%","0.35%","0.37%","0.09%","4.06%","3.34%","6.15%",36593,"79.6","17.6",60
"122","0500000US05019","Clark","Arkansas",21446,"94.81%","66.75%","23.91%","0.45%","0.71%","0.08%","2.90%","5.19%","5.09%",48071,"89.7","26.4",30
"123","0500000US05021","Clay","Arkansas",14552,"95.77%","94.36%","0.29%","0.30%","0.10%","0.05%","0.67%","4.23%","0.80%",44685,"84.3","15.4",51
"124","0500000US05023","Cleburne","Arkansas",24711,"95.10%","92.89%","0.28%","0.54%","0.41%","0.04%","0.94%","4.90%","2.76%",52780,"87.9","17.2",25
"125","0500000US05025","Cleveland","Arkansas",7550,"96.45%","85.64%","9.09%","0.46%","0.09%","0.01%","1.15%","3.55%","0.00%",48913,"91.9","15.9",69
"126","0500000US05027","Columbia","Arkansas",22801,"96.31%","58.64%","34.50%","0.32%","0.74%","0.00%","2.11%","3.69%","2.99%",47441,"88.3","19.0",28
"127","0500000US05029","Conway","Arkansas",20715,"93.04%","79.01%","10.66%","0.81%","0.43%","0.04%","2.09%","6.96%","4.39%",50282,"89.2","19.1",32
"128","0500000US05031","Craighead","Arkansas",111231,"94.10%","72.50%","16.61%","0.32%","1.52%","0.05%","3.10%","5.90%","5.46%",55169,"90.2","28.2",7
"129","0500000US05033","Crawford","Arkansas",60133,"90.33%","80.84%","1.49%","2.47%","1.57%","0.06%","3.89%","9.67%","8.57%",56702,"85.5","20.3",13
"130","0500000US05035","Crittenden","Arkansas",48163,"96.22%","40.02%","53.79%","0.28%","0.68%","0.04%","1.42%","3.78%","2.96%",51860,"85.6","17.6",14
"131","0500000US05037","Cross","Arkansas",16833,"96.07%","72.55%","21.73%","0.29%","0.61%","0.03%","0.87%","3.93%","2.13%",48129,"83.5","16.1",43
"132","0500000US05039","Dallas","Arkansas",6482,"95.74%","53.80%","39.99%","0.26%","0.11%","0.00%","1.59%","4.26%","1.27%",40085,"88.4","13.0",72
"133","0500000US05041","Desha","Arkansas",11395,"95.50%","42.52%","47.37%","0.41%","0.54%","0.04%","4.62%","4.50%","6.69%",38067,"79.0","13.1",58
"134","0500000US05043","Drew","Arkansas",17350,"96.33%","65.08%","27.93%","0.52%","0.62%","0.07%","2.11%","3.67%","4.02%",44968,"87.4","25.0",39
"135","0500000US05045","Faulkner","Arkansas",123498,"92.37%","76.19%","11.65%","0.58%","1.19%","0.06%","2.70%","7.63%","4.44%",61273,"93.0","32.5",5
"136","0500000US05047","Franklin","Arkansas",17097,"93.68%","89.88%","0.46%","1.25%","0.95%","0.06%","1.07%","6.32%","3.63%",47695,"86.2","12.3",42
"137","0500000US05049","Fulton","Arkansas",12075,"94.74%","93.16%","0.22%","0.55%","0.29%","0.00%","0.52%","5.26%","0.58%",38917,"86.9","14.4",56
"138","0500000US05051","Garland","Arkansas",100180,"92.02%","78.70%","8.11%","0.80%","0.97%","0.07%","3.36%","7.98%","6.19%",54229,"90.6","25.2",8
"139","0500000US05053","Grant","Arkansas",17958,"95.22%","90.79%","2.55%","0.45%","0.43%","0.01%","0.99%","4.78%","3.22%",68598,"92.6","18.8",38
"140","0500000US05055","Greene","Arkansas",45736,"94.69%","89.73%","2.04%","0.36%","0.40%","0.64%","1.53%","5.31%","3.13%",54879,"87.9","16.6",15
"141","0500000US05057","Hempstead","Arkansas",20065,"93.26%","54.85%","28.32%","0.70%","0.48%","0.02%","8.89%","6.74%","13.57%",45049,"83.9","15.8",34
"142","0500000US05059","Hot Spring","Arkansas",33040,"93.73%","80.28%","10.51%","0.57%","0.35%","0.03%","1.99%","6.27%","3.78%",50260,"88.5","15.5",22
"143","0500000US05061","Howard","Arkansas",12785,"94.06%","63.86%","20.66%","0.89%","0.49%","0.05%","8.10%","5.94%","13.36%",44824,"88.4","15.0",54
"144","0500000US05063","Independence","Arkansas",37938,"93.61%","84.63%","2.24%","0.64%","0.91%","0.09%","5.10%","6.39%","7.11%",52361,"86.8","17.1",20
"145","0500000US05065","Izard","Arkansas",13577,"94.35%","90.64%","1.89%","0.64%","0.20%","0.08%","0.91%","5.65%","2.73%",46159,"83.2","18.9",52
"146","0500000US05067","Jackson","Arkansas",16755,"95.83%","76.93%","16.63%","0.28%","0.38%","0.02%","1.59%","4.17%","3.19%",41929,"86.3","11.9",45
"147","0500000US05069","Jefferson","Arkansas",67260,"96.92%","37.88%","56.25%","0.36%","1.00%","0.14%","1.29%","3.08%","2.36%",46855,"89.1","20.2",11
"148","0500000US05071","Johnson","Arkansas",25749,"92.27%","78.01%","1.87%","1.06%","3.60%","0.14%","7.58%","7.73%","14.51%",42470,"80.5","15.0",24
"149","0500000US05073","Lafayette","Arkansas",6308,"96.45%","61.92%","32.61%","0.57%","0.51%","0.08%","0.76%","3.55%","3.50%",40262,"81.1","10.6",73
"150","0500000US05075","Lawrence","Arkansas",16216,"95.37%","92.77%","0.88%","0.32%","0.24%","0.07%","1.08%","4.63%","1.78%",43606,"82.3","12.9",48
"151","0500000US05077","Lee","Arkansas",8600,"96.55%","40.29%","54.22%","0.45%","0.15%","0.02%","1.41%","3.45%","2.94%",33801,"83.5","7.7",64
"152","0500000US05079","Lincoln","Arkansas",12941,"96.07%","64.32%","28.22%","0.32%","0.18%","0.07%","2.97%","3.93%","4.49%",50526,"83.5","8.1",53
"153","0500000US05081","Little River","Arkansas",12026,"93.67%","72.46%","18.11%","1.41%","0.19%","0.07%","1.42%","6.33%","4.01%",58627,"90.6","15.9",57
"154","0500000US05083","Logan","Arkansas",21131,"93.99%","89.09%","1.10%","1.14%","1.55%","0.04%","1.06%","6.01%","3.18%",51131,"88.2","14.3",31
"155","0500000US05085","Lonoke","Arkansas",74015,"92.75%","83.26%","5.93%","0.50%","0.99%","0.07%","2.01%","7.25%","4.85%",68078,"89.9","19.9",10
"156","0500000US05087","Madison","Arkansas",16521,"93.05%","86.41%","0.25%","1.42%","0.62%","1.49%","2.86%","6.95%","6.39%",51514,"85.0","12.3",47
"157","0500000US05089","Marion","Arkansas",16826,"94.29%","92.53%","0.12%","0.82%","0.33%","0.03%","0.46%","5.71%","2.52%",42891,"87.7","15.2",44
"158","0500000US05091","Miller","Arkansas",42600,"94.50%","65.81%","25.79%","0.66%","0.48%","0.01%","1.75%","5.50%","3.77%",47613,"86.7","15.6",16
"159","0500000US05093","Mississippi","Arkansas",40685,"95.63%","57.04%","35.20%","0.24%","0.60%","0.02%","2.52%","4.37%","4.69%",50012,"82.8","14.8",18
"160","0500000US05095","Monroe","Arkansas",6799,"96.22%","52.48%","40.59%","0.51%","0.41%","0.10%","2.12%","3.78%","0.00%",41786,"80.2","14.2",71
"161","0500000US05097","Montgomery","Arkansas",8484,"94.05%","89.31%","0.21%","1.21%","0.59%","0.06%","2.66%","5.95%","4.89%",47103,"86.7","16.4",65
"162","0500000US05099","Nevada","Arkansas",8310,"95.39%","62.79%","29.41%","0.54%","0.54%","0.00%","2.11%","4.61%","1.47%",43421,"89.6","10.9",66
"163","0500000US05101","Newton","Arkansas",7225,"94.45%","92.58%","0.10%","0.98%","0.33%","0.03%","0.43%","5.55%","1.83%",50699,"84.9","14.8",70
"164","0500000US05103","Ouachita","Arkansas",22650,"95.00%","53.84%","39.29%","0.31%","0.56%","0.01%","0.99%","5.00%","2.66%",47348,"88.2","15.0",29
