date,value
1994-10-10,1.114
1994-10-17,1.106
1994-10-24,1.107
1994-10-31,1.121
1994-11-07,1.123
1994-11-14,1.122
1994-11-21,1.113
1994-11-28,1.105
1994-12-05,1.103
1994-12-12,1.095
1994-12-19,1.087
1994-12-26,1.077
1995-01-02,1.079
1995-01-09,1.086
1995-01-16,1.078
1995-01-23,1.083
1995-01-30,1.083
1995-02-06,1.076
1995-02-13,1.074
1995-02-20,1.067
1995-02-27,1.073
1995-03-06,1.076
1995-03-13,1.069
1995-03-20,1.068
1995-03-27,1.075
1995-04-03,1.087
1995-04-10,1.103
1995-04-17,1.117
1995-04-24,1.138
1995-05-01,1.148
1995-05-08,1.169
1995-05-15,1.179
1995-05-22,1.197
1995-05-29,1.199
1995-06-05,1.199
1995-06-12,1.196
1995-06-19,1.189
1995-06-26,1.182
1995-07-03,1.175
1995-07-10,1.165
1995-07-17,1.153
1995-07-24,1.144
1995-07-31,1.132
1995-08-07,1.127
1995-08-14,1.125
1995-08-21,1.124
1995-08-28,1.117
1995-09-04,1.113
1995-09-11,1.111
1995-09-18,1.110
1995-09-25,1.109
1995-10-02,1.105
1995-10-09,1.097
1995-10-16,1.087
1995-10-23,1.079
1995-10-30,1.068
1995-11-06,1.065
1995-11-13,1.063
1995-11-20,1.060
1995-11-27,1.061
1995-12-04,1.062
1995-12-11,1.063
1995-12-18,1.078
1995-12-25,1.082
1996-01-01,1.083
1996-01-08,1.093
1996-01-15,1.098
1996-01-22,1.091
1996-01-29,1.087
1996-02-05,1.083
1996-02-12,1.080
1996-02-19,1.087
1996-02-26,1.107
1996-03-04,1.124
1996-03-11,1.125
1996-03-18,1.135
1996-03-25,1.164
1996-04-01,1.178
1996-04-08,1.204
1996-04-15,1.242
1996-04-22,1.256
1996-04-29,1.273
1996-05-06,1.275
1996-05-13,1.277
1996-05-20,1.285
1996-05-27,1.275
1996-06-03,1.269
1996-06-10,1.262
1996-06-17,1.258
1996-06-24,1.245
1996-07-01,1.234
1996-07-08,1.231
1996-07-15,1.228
1996-07-22,1.227
1996-07-29,1.218
1996-08-05,1.207
1996-08-12,1.203
1996-08-19,1.205
1996-08-26,1.209
1996-09-02,1.197
1996-09-09,1.203
1996-09-16,1.206
1996-09-23,1.206
1996-09-30,1.200
1996-10-07,1.194
1996-10-14,1.203
1996-10-21,1.204
1996-10-28,1.215
1996-11-04,1.223
1996-11-11,1.226
1996-11-18,1.236
1996-11-25,1.244
1996-12-02,1.241
1996-12-09,1.241
1996-12-16,1.236
1996-12-23,1.231
1996-12-30,1.227
1997-01-06,1.225
1997-01-13,1.241
1997-01-20,1.241
1997-01-27,1.238
1997-02-03,1.236
1997-02-10,1.234
1997-02-17,1.227
1997-02-24,1.223
1997-03-03,1.215
1997-03-10,1.206
1997-03-17,1.200
1997-03-24,1.204
1997-03-31,1.200
1997-04-07,1.203
1997-04-14,1.199
1997-04-21,1.199
1997-04-28,1.195
1997-05-05,1.193
1997-05-12,1.193
1997-05-19,1.203
1997-05-26,1.212
1997-06-02,1.215
1997-06-09,1.207
1997-06-16,1.198
1997-06-23,1.187
1997-06-30,1.181
1997-07-07,1.177
1997-07-14,1.173
1997-07-21,1.177
1997-07-28,1.170
1997-08-04,1.193
1997-08-11,1.228
1997-08-18,1.229
1997-08-25,1.244
1997-09-01,1.243
1997-09-08,1.243
1997-09-15,1.236
1997-09-22,1.225
1997-09-29,1.210
1997-10-06,1.209
1997-10-13,1.203
1997-10-20,1.193
1997-10-27,1.182
