election_year,state,dem_votes,rep_votes,total_votes
2000,AK,79004,167398,285560
2004,AK,111025,190889,312598
2008,AK,123594,193841,327341
2012,AK,122640,164676,300495
2016,AK,116454,163387,318608
2020,AK,153778,189951,359530
